status,dsp_used,partition,uram_used,lut_used,lutmem_used,bram_used,reg_used,runtime_avg,runtime_std
error,111,10,0,21661,717,961,18291,851.388,0.0
ok,12,4,0,2318,125,769,3150,854.0389000000001,0.02464325465517663
ok,34,3,0,7744,400,865,7225,1094.919,0.014456832294787813
ok,100,9,0,19432,683,865,16526,1096.745,0.0210950231097098
ok,3,1,0,2285,141,769,2719,750.6554,0.021095971179360358
ok,6,2,0,2236,125,769,2708,852.4626000000001,0.02452019575778404
ok,24,8,0,2433,126,769,3543,855.5919,0.01888094277307792
error,56,5,0,11596,574,961,10324,1096.78,0.0
error,67,6,0,14505,656,1153,11556,1098.57,0.0
ok,78,7,0,16124,572,1345,13825,1104.0849999999998,0.015652475842484293
