lut_used,lut_available,lut_logic_used,lut_logic_available,lut_mem_used,lut_mem_available,reg_used,reg_available,reg_ff_used,reg_ff_available,reg_latch_used,reg_latch_available,bram_tile_used,bram_tile_available,bram36_used,bram36_available,bram18_used,bram18_available,dsp_used,dsp_available,unroll
23915.0,53200.0,16211.0,53200.0,3802.0,17400.0,25584.0,106400.0,25526.0,106400.0,0.0,106400.0,51.0,140.0,51.0,140.0,0.0,280.0,42.0,220.0,1
23649.0,53200.0,16045.0,53200.0,3634.0,17400.0,25181.0,106400.0,25181.0,106400.0,0.0,106400.0,51.0,140.0,51.0,140.0,0.0,280.0,18.0,220.0,2
24604.0,53200.0,16716.0,53200.0,3780.0,17400.0,25812.0,106400.0,25812.0,106400.0,0.0,106400.0,51.0,140.0,51.0,140.0,0.0,280.0,24.0,220.0,3
24672.0,53200.0,16414.0,53200.0,3815.0,17400.0,25957.0,106400.0,25957.0,106400.0,0.0,106400.0,51.0,140.0,51.0,140.0,0.0,280.0,36.0,220.0,4
26287.0,53200.0,18037.0,53200.0,3961.0,17400.0,26804.0,106400.0,26804.0,106400.0,0.0,106400.0,51.0,140.0,51.0,140.0,0.0,280.0,42.0,220.0,5
36840.0,53200.0,27803.0,53200.0,4179.0,17400.0,35902.0,106400.0,35902.0,106400.0,0.0,106400.0,67.0,140.0,67.0,140.0,0.0,280.0,56.0,220.0,6
27331.0,53200.0,18968.0,53200.0,4206.0,17400.0,27600.0,106400.0,27600.0,106400.0,0.0,106400.0,51.0,140.0,51.0,140.0,0.0,280.0,60.0,220.0,7
26203.0,53200.0,17268.0,53200.0,4177.0,17400.0,27440.0,106400.0,27440.0,106400.0,0.0,106400.0,51.0,140.0,51.0,140.0,0.0,280.0,72.0,220.0,8
32490.0,53200.0,23923.0,53200.0,4323.0,17400.0,29414.0,106400.0,29414.0,106400.0,0.0,106400.0,51.0,140.0,51.0,140.0,0.0,280.0,78.0,220.0,9
42132.0,53200.0,32968.0,53200.0,4551.0,17400.0,41133.0,106400.0,41127.0,106400.0,0.0,106400.0,59.0,140.0,59.0,140.0,0.0,280.0,92.0,220.0,10
36667.0,53200.0,27511.0,53200.0,4568.0,17400.0,30270.0,106400.0,30270.0,106400.0,0.0,106400.0,51.0,140.0,51.0,140.0,0.0,280.0,96.0,220.0,11
45403.0,53200.0,35656.0,53200.0,4738.0,17400.0,43573.0,106400.0,43571.0,106400.0,0.0,106400.0,67.0,140.0,67.0,140.0,0.0,280.0,110.0,220.0,12
38835.0,53200.0,29376.0,53200.0,4749.0,17400.0,31033.0,106400.0,31033.0,106400.0,0.0,106400.0,51.0,140.0,51.0,140.0,0.0,280.0,114.0,220.0,13
48195.0,53200.0,38323.0,53200.0,4925.0,17400.0,46644.0,106400.0,46643.0,106400.0,0.0,106400.0,75.0,140.0,75.0,140.0,0.0,280.0,128.0,220.0,14
40028.0,53200.0,30377.0,53200.0,4994.0,17400.0,31861.0,106400.0,31861.0,106400.0,0.0,106400.0,51.0,140.0,51.0,140.0,0.0,280.0,132.0,220.0,15
28705.0,53200.0,18929.0,53200.0,4901.0,17400.0,30477.0,106400.0,30477.0,106400.0,0.0,106400.0,51.0,140.0,51.0,140.0,0.0,280.0,144.0,220.0,16
