status,partition,bram_used,dsp_used,lutmem_used,uram_used,reg_used,lut_used,runtime_avg,runtime_std
ok,6,1153,6,185,0,3511,3504,920.104,0.027774088643911468
ok,8,769,3,129,0,2596,2154,855.6200000000001,0.018541844568436095
ok,2,769,3,128,0,2654,2192,761.8312999999999,0.02283002409110603
ok,10,954,6,186,0,3455,3223,921.673,0.022306949589741585
ok,4,769,3,128,0,2654,2162,946.2462000000002,0.015223665787183078
ok,9,861,6,186,0,3449,3144,750.6471000000001,0.026949768088069773
ok,5,961,6,185,0,3506,3043,920.0985000000001,0.017177019531936878
ok,7,1345,6,185,0,3541,4220,920.0876999999998,0.021109476544898365
ok,1,769,3,141,0,2719,2285,750.6638,0.026947356085537746
ok,3,865,6,189,0,3511,3040,922.1421999999999,0.026331729908975185
